browser,sessions,pct
Chrome,49968,0.6958168551217067
Safari,13563,0.18886815573998775
Firefox,2770,0.038572940455634155
Internet Explorer,1527,0.02126385562301565
Edge,994,0.01384169776639002
Android Webview,890,0.012393471843145992
Opera Mini,640,0.008912159527655545
Safari (in-app),571,0.007951317328580182
Opera,323,0.004497855511613658
UC Browser,251,0.003495237564752409
YaBrowser,68,0.0009469169498134017
Coc Coc,52,0.000724112961622013
Amazon Silk,47,0.0006544867153122041
Mozilla Compatible Agent,43,0.000598785718264357
Android Browser,41,0.0005709352197404334
Maxthon,14,0.00019495348966746504
Puffin,13,0.00018102824040550325
BlackBerry,10,0.0001392524926196179
0,7,9.747674483373252e-05
MRCHROME,5,6.962624630980895e-05
Nintendo Browser,5,6.962624630980895e-05
Iron,3,4.177574778588537e-05
Android Runtime,1,1.3925249261961789e-05
Mozilla,1,1.3925249261961789e-05
SeaMonkey,1,1.3925249261961789e-05
Seznam,1,1.3925249261961789e-05
Unknown,1,1.3925249261961789e-05
[Use default User-agent string] LIVRENPOCHE,1,1.3925249261961789e-05
osee2unifiedRelease,1,1.3925249261961789e-05
