product_sku,product_name,total_revenue,total_quantity,transaction_count,avg_price
GGOEGDHC018299,Google 22 oz Water Bottle,3993.728612,1358.0,82,2.940889994108984
GGOEGOCR017899,Recycled Paper Journal Set,2960.957316,830.0,62,3.5674184530120483
GGOEGFSR022099,Google Kick Ball,1501.84486,761.0,54,1.9735149277266752
GGOEGOCC077999,Google Spiral Journal with Pen,4940.69658,719.0,30,6.8716225034770515
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,974.523832,678.0,28,1.437350784660767
GGOEGBMJ013399,Sport Bag,3183.69416,652.0,54,4.882966503067484
GGOEGOCB017499,Leatherette Journal,4660.578175,622.0,70,7.49289095659164
GGOEGFYQ016599,Foam Can and Bottle Cooler,804.61136,578.0,92,1.3920611764705881
GGOEGOLC013299,Spiral Notebook and Pen Set,1978.026589,524.0,60,3.7748599026717558
GGOEGHGC019799,Google Sunglasses,1344.240038,450.0,94,2.9872000844444444
