uid,total_spending,transaction_count,avg_spending
9417857471295131045150040440920170718,25255.26,2,12627.63
9417857471295131045149995131320170713,14067.31,2,7033.655
6236695646664370912149927513120170705,4013.56,1,4013.56
7445235885559107095150153374920170731,2494.0,1,2494.0
875410720669459903150039372820170718,2408.2,1,2408.2
6052206455243513477150084499320170723,1803.4,1,1803.4
6052206455243513477150099310020170725,1511.0,1,1511.0
4178948793864037103149972165220170710,1446.79,4,361.6975
9417857471295131045150065763420170721,1344.28,2,672.14
702289726935404752150124587420170728,1268.08,1,1268.08
